ZONA PORTUARIA;SOCIEDAD PORTUARIA;TIPO DE CARGA;EXPORTACION;IMPORTACIÓN;TRANSBORDO;TRANSITO INTERNACIONAL;FLUVIAL;CABOTAJE;AÑO VIGENCIA;MES VIGENCIA
BARRANQUILLA;SOCIEDAD PORTUARIA REGIONAL DE BARRANQUILLA S.A.;CARBON AL GRANEL;60291;0;0;;;;2020;1
TURBO;C.I. UNIÓN DE BANANEROS DE URABA - UNIBAN;CONTENEDORES;16137;5338;0;;;34909;2020;9
CARTAGENA;PUERTO DE MAMONAL S.A.  EN REORGANIZACION EMPRESARIAL;CARBON AL GRANEL;168880;0;0;;;;2019;11
CARTAGENA;ATUNAMAR LIMITADA;GENERAL;0;0;0;;;3334;2020;9
GUAJIRA;CERREJON ZONA NORTE S.A.;CARBON AL GRANEL;2825483;0;0;;;;2019;5
BARRANCABERMEJA;SOCIEDAD PORTUARIA IMPALA TERMINALS BARRANCABERMEJA S.A.;GENERAL;0;0;0;;129;;2020;11
SANTA MARTA;SOCIEDAD PORTUARIA REGIONAL DE SANTA MARTA SA;GRANEL SOLIDO DIFER. DE CARBON;0;179372;0;;;;2018;1
BUENAVENTURA;SOCIEDAD PORTUARIA REGIONAL DE BUENAVENTURA S.A;GRANEL SOLIDO DIFER. DE CARBON;9000;382970;0;;;;2019;11
TUMACO;SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A;GRANEL LIQUIDO;0;0;0;;;4075;2018;11
BARRANQUILLA;VOPAK COLOMBIA S.A.;GRANEL LIQUIDO;4213;15178;0;;;;2019;8
G. MORROSQUILLO;OLEODUCTO CENTRAL SA;GRANEL LIQUIDO;1602147;0;0;;;;2018;1
BUENAVENTURA;SOCIEDAD PUERTO INDUSTRIAL AGUADULCE S.A.;CARBON AL GRANEL;0;18244;0;;;;2020;5
TUMACO;SOCIEDAD PORTUARIA REGIONAL TUMACO PACIFIC PORT S.A;GRANEL LIQUIDO;6246;0;0;;;;2018;7
CARTAGENA;SOCIEDAD PORTUARIA REGIONAL DE CARTAGENA SA;GENERAL;152;64;0;;;;2018;8
